"","Date","Activity","Confidence"
"1",1992-03-31,-0.333559970675963,-0.151281183300649
"2",1992-06-30,-0.416977559146538,-0.248973426246364
"3",1992-09-30,-0.495368197637041,-0.367683207371233
"4",1992-12-31,-0.484596021225809,-0.256147212589321
"5",1993-03-31,-0.37127095406075,-0.174142344558749
"6",1993-06-30,-0.373752269450145,-0.212069443205116
"7",1993-09-30,-0.286583776660048,-0.153003154887923
"8",1993-12-31,-0.203403028093486,-0.0910970470263375
"9",1994-03-31,-0.0733786720969122,-0.0318028970255046
"10",1994-06-30,0.182107173996609,0.427030803173038
"11",1994-09-30,0.166891120587632,0.264523923743087
"12",1994-12-31,0.311555637134313,0.373813041393632
"13",1995-03-31,0.314186371870681,0.385388706458638
"14",1995-06-30,0.253718399544017,0.257414604111289
"15",1995-09-30,0.121574542306236,0.159859868182155
"16",1995-12-31,0.0876418816693326,0.119658917956236
"17",1996-03-31,0.00339826012689057,0.127768773300659
"18",1996-06-30,-0.104698831347878,-0.0662238767757719
"19",1996-09-30,-0.143751946046346,-0.0918804370425434
"20",1996-12-31,-0.128605504502877,-0.127332420124682
"21",1997-03-31,-0.0272466096094075,0.0264150463702418
"22",1997-06-30,-0.162417958859144,-0.121699645793402
"23",1997-09-30,-0.188883145848087,-0.155822805954524
"24",1997-12-31,-0.312187507379309,-0.190545901040006
"25",1998-03-31,-0.398478591866731,-0.289585307990957
"26",1998-06-30,-0.45989126590694,-0.372957184835814
"27",1998-09-30,-0.492862147372275,-0.453066156305763
"28",1998-12-31,-0.543735230213556,-0.411176069585301
"29",1999-03-31,-0.569228059682222,-0.407044108026345
"30",1999-06-30,-0.506316860679559,-0.309667361884212
"31",1999-09-30,-0.304576563881425,-0.0862703413149995
"32",1999-12-31,-0.119382679623834,0.12117277063671
"33",2000-03-31,-0.0812319262554382,0.141205707998034
"34",2000-06-30,-0.140483514197174,0.00711789411269781
"35",2000-09-30,-0.13654237948357,0.00405542368508278
"36",2000-12-31,-0.266402378092012,-0.117518408055385
"37",2001-03-31,-0.209063721150885,-0.0365315694657026
"38",2001-06-30,-0.174098136509818,-0.0782961088179701
"39",2001-09-30,-0.16822292120069,-0.00765999762575652
"40",2001-12-31,-0.156494799096009,-0.0836315982056121
"41",2002-03-31,0.00874629371483422,-0.00186612253139377
"42",2002-06-30,0.142110628428792,0.11433579940256
"43",2002-09-30,0.166307398405798,0.136587684116221
"44",2002-12-31,0.114031335004453,0.0572439805204534
"45",2003-03-31,0.0727472761986611,0.0886536213888879
"46",2003-06-30,-0.0815820272654498,-0.0381163533645344
"47",2003-09-30,-0.108341599213544,0.0250233875384369
"48",2003-12-31,-0.065097739085204,0.00208051971526321
"49",2004-03-31,0.0128223207197062,0.00166619854161475
"50",2004-06-30,0.0848506451177942,0.104727126561064
"51",2004-09-30,0.151865753013362,0.176235970384436
"52",2004-12-31,0.243263202262874,0.183619528043627
"53",2005-03-31,0.110071581924768,0.0941344085461152
"54",2005-06-30,0.189045016592824,0.206811577254723
"55",2005-09-30,0.221624914082014,0.228241736924836
"56",2005-12-31,0.193238842766294,0.250277949540642
"57",2006-03-31,0.199132173200248,0.225087692149375
"58",2006-06-30,0.214649081129716,0.180166416921133
"59",2006-09-30,0.251350058254674,0.223718558027202
"60",2006-12-31,0.223479240801156,0.148188202173891
"61",2007-03-31,0.230409280500743,0.225756134708303
"62",2007-06-30,0.253453757705901,0.209274165062063
"63",2007-09-30,0.132218618182876,0.0667248118909659
"64",2007-12-31,0.164602069491891,0.0665214917228743
"65",2008-03-31,-0.0628458972856227,-0.122849635914909
"66",2008-06-30,-0.107839622349571,-0.145720982198604
"67",2008-09-30,-0.147878178003484,-0.122220467926428
"68",2008-12-31,-0.231167663643999,-0.279592872438768
"69",2009-03-31,-0.306333940470094,-0.380865798327759
"70",2009-06-30,-0.333468083581694,-0.293877343071424
"71",2009-09-30,-0.311039544830694,-0.188004654069057
"72",2009-12-31,-0.239479573189518,0.0249721901953681
"73",2010-03-31,-0.0815214648233282,0.0709932720313421
"74",2010-06-30,-0.108492604827522,0.0160447555571186
"75",2010-09-30,-0.0933395474370537,0.00136433810903851
"76",2010-12-31,-0.076913228013932,0.0640678506243641
"77",2011-03-31,-0.00963658820403651,0.0901928014160837
"78",2011-06-30,-0.037536133834015,0.0301051854714625
"79",2011-09-30,-0.142093042804524,-0.0403787300066793
"80",2011-12-31,-0.0886254695458346,-0.0374308294483839
"81",2012-03-31,-0.0187541656549005,0.0694587212146157
"82",2012-06-30,-0.0916865510503544,-0.0247740363936698
"83",2012-09-30,-0.0772839452407353,0.0148438346961695
"84",2012-12-31,-0.173779694742474,-0.0564518042739907
"85",2013-03-31,-0.147806272517165,-0.0326489921673642
"86",2013-06-30,-0.145922464826682,0.0537682458792336
"87",2013-09-30,-0.104343064026005,-0.0534392637671779
"88",2013-12-31,-0.120427865606523,0.0372081001918893
"89",2014-03-31,-0.163205427982722,-0.0519589186775761
"90",2014-06-30,-0.175433791062234,-0.0443360656934364
"91",2014-09-30,-0.14039796626528,0.0486613043373479
"92",2014-12-31,-0.154988461490926,-0.137327258908786
"93",2015-03-31,-0.195673171514527,-0.0719516753618814
"94",2015-06-30,-0.174193266044859,-0.131528246195081
"95",2015-09-30,-0.220259313912903,-0.184091351311061
"96",2015-12-31,-0.234657657433892,-0.207628335212655
"97",2016-03-31,-0.291212528965633,-0.268094094248361
"98",2016-06-30,-0.210819900045264,-0.162302742096303
"99",2016-09-30,-0.205650574675728,-0.0742099672422632
